Team_id,Team name,Team Abbrv,nickname,state,year_founded,Arena Name
1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,1949,State Farm Arena
1610612738,Boston Celtics,BOS,Celtics,Massachusetts,1946,TD Garden
1610612739,Cleveland Cavaliers,CLE,Cavaliers,Ohio,1970,Rocket Mortgage Fieldhouse
1610612740,New Orleans Pelicans,NOP,Pelicans,Louisiana,2002,Smoothie King Center
1610612741,Chicago Bulls,CHI,Bulls,Illinois,1966,United Center
1610612742,Dallas Mavericks,DAL,Mavericks,Texas,1980,American Airlines Center
1610612743,Denver Nuggets,DEN,Nuggets,Colorado,1976,Ball Arena
1610612744,Golden State Warriors,GSW,Warriors,California,1946,Chase Center
1610612745,Houston Rockets,HOU,Rockets,Texas,1967,Toyota Center
1610612746,Los Angeles Clippers,LAC,Clippers,California,1970,Crypto.com Arena
1610612747,Los Angeles Lakers,LAL,Lakers,California,1948,Crypto.com Arena
1610612748,Miami Heat,MIA,Heat,Florida,1988,Kaseya Center
1610612749,Milwaukee Bucks,MIL,Bucks,Wisconsin,1968,Fiserv Forum
1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,1989,Target Center
1610612751,Brooklyn Nets,BKN,Nets,New York,1976,Barclays Center
1610612752,New York Knicks,NYK,Knicks,New York,1946,Madison Square Garden
1610612753,Orlando Magic,ORL,Magic,Florida,1989,Kia Center
1610612754,Indiana Pacers,IND,Pacers,Indiana,1976,Gainbridge Fieldhouse
1610612755,Philadelphia 76ers,PHI,76ers,Pennsylvania,1949,Wells Fargo Center
1610612756,Phoenix Suns,PHX,Suns,Arizona,1968,Footprint Center
1610612757,Portland Trail Blazers,POR,Trail Blazers,Oregon,1970,Moda Center
1610612758,Sacramento Kings,SAC,Kings,California,1948,Golden 1 Center
1610612759,San Antonio Spurs,SAS,Spurs,Texas,1976,Frost Bank Center
1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma,1967,Paycom Center
1610612761,Toronto Raptors,TOR,Raptors,Ontario,1995,Scotiabank Arena
1610612762,Utah Jazz,UTA,Jazz,Utah,1974,Delta Center
1610612763,Memphis Grizzlies,MEM,Grizzlies,Tennessee,1995,FedExForum
1610612764,Washington Wizards,WAS,Wizards,District of Columbia,1961,Capital One Arena
1610612765,Detroit Pistons,DET,Pistons,Michigan,1948,Little Caesars Arena
1610612766,Charlotte Hornets,CHA,Hornets,North Carolina,1988,Spectrum Center
