CoachID,Playoffs_Current_G,Playoffs_Current_W,Playoffs_Current_L,Playoffs_Franchise_G,Playoffs_Franchise_W,Playoffs_Franchise_L,Playoffs_Overall_G,Playoffs_Overall_W,Playoffs_Overall_L
1,0,0,0,6,2,4,57,23,34
2,11,6,5,50,33,17,50,33,17
3,0,0,0,0,0,0,0,0,0
4,0,0,0,5,1,4,46,19,27
5,0,0,0,0,0,0,0,0,0
6,9,5,4,9,5,4,14,6,8
7,0,0,0,40,22,18,64,31,33
8,0,0,0,80,44,36,80,44,36
9,14,7,7,14,7,7,14,7,7
10,6,2,4,6,2,4,28,9,19
11,12,5,7,152,104,48,152,104,48
12,7,3,4,7,3,4,31,17,14
13,23,15,8,75,41,34,173,86,87
14,7,3,4,37,16,21,98,57,41
15,5,1,4,5,1,4,5,1,4
16,0,0,0,23,9,14,23,9,14
17,4,0,4,4,0,4,4,0,4
18,4,0,4,193,110,83,193,110,83
19,5,1,4,11,3,8,226,114,112
20,15,9,6,42,21,21,42,21,21
21,0,0,0,10,2,8,10,2,8
22,18,10,8,47,24,23,103,48,55
23,23,16,7,33,22,11,33,22,11
24,5,1,4,12,4,8,12,4,8
25,0,0,0,6,2,4,47,27,20
26,0,0,0,0,0,0,104,56,48
27,0,0,0,0,0,0,0,0,0
28,0,0,0,7,3,4,90,50,40
29,0,0,0,0,0,0,0,0,0
30,0,0,0,284,170,114,284,170,114
31,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0
