CoachID,Reg_Current_G,Reg_Current_W,Reg_Current_L,Reg_Franchise_G,Reg_Franchise_W,Reg_Franchise_L,Reg_Overall_G,Reg_Overall_W,Reg_Overall_L
1,82,40,42,185,86,99,821,458,363
2,82,61,21,246,182,64,246,182,64
3,82,26,56,82,26,56,82,26,56
4,82,39,43,400,195,205,800,438,362
5,82,19,63,82,19,63,82,19,63
6,82,64,18,82,64,18,390,182,208
7,82,39,43,328,179,149,701,362,339
8,79,47,32,798,471,327,904,510,394
9,3,3,0,3,3,0,3,3,0
10,82,44,38,82,44,38,627,299,328
11,82,48,34,875,567,308,875,567,308
12,82,52,30,164,93,71,246,144,102
13,82,50,32,656,338,318,1853,993,860
14,82,50,32,400,234,166,611,362,249
15,82,50,32,82,50,32,82,50,32
16,73,44,29,464,250,214,464,250,214
17,9,4,5,9,4,5,9,4,5
18,82,37,45,1359,787,572,1359,787,572
19,82,48,34,118,65,53,1978,1162,816
20,82,49,33,369,209,160,369,209,160
21,82,21,61,328,148,180,328,148,180
22,82,51,31,400,226,174,998,578,420
23,82,68,14,400,211,189,400,211,189
24,82,41,41,328,144,184,328,144,184
25,82,24,58,164,71,93,554,298,256
26,82,36,46,82,36,46,883,520,363
27,82,36,46,328,117,211,328,117,211
28,31,13,18,195,107,88,758,454,304
29,51,27,24,51,27,24,51,27,24
30,5,2,3,2214,1390,824,2214,1390,824
31,77,32,45,77,32,45,77,32,45
32,82,30,52,164,55,109,164,55,109
33,82,17,65,246,85,161,246,85,161
34,82,18,64,121,26,95,121,26,95
